drug1.conc,drug2.conc,E
0,0,0.9353
0.05,0,0.9758
0.2236,0,0.93
1,0,0.7803
4.472,0,0.5756
20,0,0.5612
0,0.05,0.9886
0.05,0.05,0.9055
0.2236,0.05,0.8565
1,0.05,0.6505
4.472,0.05,0.4751
20,0.05,0.4261
0,0.2236,0.8259
0.05,0.2236,0.8282
0.2236,0.2236,0.711
1,0.2236,0.5155
4.472,0.2236,0.3738
20,0.2236,0.2944
0,1,0.588
0.05,1,0.6379
0.2236,1,0.4956
1,1,0.3588
4.472,1,0.1978
20,1,0.1553
0,4.472,0.3958
0.05,4.472,0.3765
0.2236,4.472,0.3198
1,4.472,0.1954
4.472,4.472,0.09731
20,4.472,0.06816
0,20,0.2419
0.05,20,0.2575
0.2236,20,0.2223
1,20,0.1371
4.472,20,0.06156
20,20,0.0251
0,0,1.054
0.05,0,1.003
0.2236,0,0.9264
1,0,0.7377
4.472,0,0.5442
20,0,0.5226
0,0.05,1.016
0.05,0.05,0.86
0.2236,0.05,0.9508
1,0.05,0.648
4.472,0.05,0.4707
20,0.05,0.43
0,0.2236,0.8554
0.05,0.2236,0.8033
0.2236,0.2236,0.7142
1,0.2236,0.5408
4.472,0.2236,0.3697
20,0.2236,0.3222
0,1,0.6418
0.05,1,0.6047
0.2236,1,0.5119
1,1,0.3285
4.472,1,0.2196
20,1,0.1652
0,4.472,0.407
0.05,4.472,0.4139
0.2236,4.472,0.3162
1,4.472,0.2231
4.472,4.472,0.09764
20,4.472,0.06241
0,20,0.2627
0.05,20,0.263
0.2236,20,0.2209
1,20,0.1334
4.472,20,0.05023
20,20,0.02408
0,0,0.9105
0.05,0,1.036
0.2236,0,0.9655
1,0,0.7431
4.472,0,0.5629
20,0,0.5318
0,0.05,0.9313
0.05,0.05,0.9004
0.2236,0.05,0.8868
1,0.05,0.6798
4.472,0.05,0.4662
20,0.05,0.3804
0,0.2236,0.8825
0.05,0.2236,0.7444
0.2236,0.2236,0.6474
1,0.2236,0.5476
4.472,0.2236,0.3606
20,0.2236,0.3087
0,1,0.6252
0.05,1,0.5636
0.2236,1,0.5444
1,1,0.3685
4.472,1,0.2071
20,1,0.154
0,4.472,0.3774
0.05,4.472,0.3836
0.2236,4.472,0.3137
1,4.472,0.2166
4.472,4.472,0.1053
20,4.472,0.06508
0,20,0.29
0.05,20,0.2451
0.2236,20,0.2158
1,20,0.1408
4.472,20,0.05413
20,20,0.02785
