drug1.conc,drug2.conc,drug3.conc,drug4.conc,E
0,0,0,0,0.9674
0,0,0,0.05,0.9074
0,0,0,0.2236,0.8685
0,0,0,1,0.5845
0,0,0,4.472,0.3433
0,0,0,20,0.2492
0,0,0.05,0,0.9927
0,0,0.05,0.05,0.9491
0,0,0.05,0.2236,0.888
0,0,0.05,1,0.5977
0,0,0.05,4.472,0.3339
0,0,0.05,20,0.2405
0,0,0.2236,0,0.9178
0,0,0.2236,0.05,0.9715
0,0,0.2236,0.2236,0.8924
0,0,0.2236,1,0.5644
0,0,0.2236,4.472,0.3333
0,0,0.2236,20,0.207
0,0,1,0,0.7331
0,0,1,0.05,0.6279
0,0,1,0.2236,0.4857
0,0,1,1,0.409
0,0,1,4.472,0.2505
0,0,1,20,0.1558
0,0,4.472,0,0.3011
0,0,4.472,0.05,0.2738
0,0,4.472,0.2236,0.2927
0,0,4.472,1,0.1897
0,0,4.472,4.472,0.09881
0,0,4.472,20,0.07219
0,0,20,0,0.2677
0,0,20,0.05,0.309
0,0,20,0.2236,0.2475
0,0,20,1,0.1824
0,0,20,4.472,0.1002
0,0,20,20,0.07654
0.05,0,0,0,1
0.05,0,0,0.05,1
0.05,0,0,0.2236,0.8233
0.05,0,0,1,0.5602
0.05,0,0,4.472,0.3346
0.05,0,0,20,0.2449
0.05,0,0.05,0,1
0.05,0,0.05,0.05,0.901
0.05,0,0.05,0.2236,0.7982
0.05,0,0.05,1,0.629
0.05,0,0.05,4.472,0.3449
0.05,0,0.05,20,0.2382
0.05,0,0.2236,0,1
0.05,0,0.2236,0.05,0.9957
0.05,0,0.2236,0.2236,0.8673
0.05,0,0.2236,1,0.5889
0.05,0,0.2236,4.472,0.3887
0.05,0,0.2236,20,0.2486
0.05,0,1,0,0.6493
0.05,0,1,0.05,0.6919
0.05,0,1,0.2236,0.5373
0.05,0,1,1,0.3532
0.05,0,1,4.472,0.2188
0.05,0,1,20,0.1652
0.05,0,4.472,0,0.3082
0.05,0,4.472,0.05,0.2791
0.05,0,4.472,0.2236,0.2687
0.05,0,4.472,1,0.1901
0.05,0,4.472,4.472,0.1093
0.05,0,4.472,20,0.07136
0.05,0,20,0,0.2852
0.05,0,20,0.05,0.2831
0.05,0,20,0.2236,0.2703
0.05,0,20,1,0.1817
0.05,0,20,4.472,0.1031
0.05,0,20,20,0.06795
0.2236,0,0,0,0.9966
0.2236,0,0,0.05,0.9375
0.2236,0,0,0.2236,0.7966
0.2236,0,0,1,0.5817
0.2236,0,0,4.472,0.3376
0.2236,0,0,20,0.2224
0.2236,0,0.05,0,0.9405
