drug1.conc,drug2.conc,E
0.05,0.05,0.9721
4.04,0.05,0.199
8.03,0.05,0.1069
12.02,0.05,0.0798
16.01,0.05,0.06102
20,0.05,0.04795
0.05,4.04,0.1998
4.04,4.04,0.1107
8.03,4.04,0.08071
12.02,4.04,0.05146
16.01,4.04,0.04333
20,4.04,0.043
0.05,8.03,0.1211
4.04,8.03,0.07355
8.03,8.03,0.06286
12.02,8.03,0.0516
16.01,8.03,0.04197
20,8.03,0.03957
0.05,12.02,0.07176
4.04,12.02,0.06755
8.03,12.02,0.04961
12.02,12.02,0.03956
16.01,12.02,0.0303
20,12.02,0.03022
0.05,16.01,0.04966
4.04,16.01,0.04489
8.03,16.01,0.03957
12.02,16.01,0.03674
16.01,16.01,0.03114
20,16.01,0.02473
0.05,20,0.0385
4.04,20,0.03751
8.03,20,0.0326
12.02,20,0.02704
16.01,20,0.02822
20,20,0.02799
0.05,0.05,0.8928
4.04,0.05,0.2014
8.03,0.05,0.1277
12.02,0.05,0.07523
16.01,0.05,0.05642
20,0.05,0.04966
0.05,4.04,0.2007
4.04,4.04,0.1187
8.03,4.04,0.07348
12.02,4.04,0.05566
16.01,4.04,0.04462
20,4.04,0.03646
0.05,8.03,0.1067
4.04,8.03,0.07796
8.03,8.03,0.05871
12.02,8.03,0.0431
16.01,8.03,0.03814
20,8.03,0.03678
0.05,12.02,0.07641
4.04,12.02,0.06059
8.03,12.02,0.04632
12.02,12.02,0.04602
16.01,12.02,0.03062
20,12.02,0.03368
0.05,16.01,0.06552
4.04,16.01,0.04205
8.03,16.01,0.04084
12.02,16.01,0.03581
16.01,16.01,0.02882
20,16.01,0.02877
0.05,20,0.04652
4.04,20,0.03953
8.03,20,0.03462
12.02,20,0.03091
16.01,20,0.03005
20,20,0.0245
0.05,0.05,0.8395
4.04,0.05,0.2053
8.03,0.05,0.1145
12.02,0.05,0.08473
16.01,0.05,0.05701
20,0.05,0.04985
0.05,4.04,0.2004
4.04,4.04,0.1171
8.03,4.04,0.07241
12.02,4.04,0.05863
16.01,4.04,0.04852
20,4.04,0.03804
0.05,8.03,0.115
4.04,8.03,0.07729
8.03,8.03,0.05254
12.02,8.03,0.04511
16.01,8.03,0.04863
20,8.03,0.03087
0.05,12.02,0.07743
4.04,12.02,0.06398
8.03,12.02,0.0531
12.02,12.02,0.04414
16.01,12.02,0.03366
20,12.02,0.03206
0.05,16.01,0.06013
4.04,16.01,0.05002
8.03,16.01,0.03908
12.02,16.01,0.03391
16.01,16.01,0.03271
20,16.01,0.02931
0.05,20,0.04991
4.04,20,0.0365
8.03,20,0.03572
12.02,20,0.03051
16.01,20,0.02997
20,20,0.02776
