drug1.conc,drug2.conc,drug3.conc,E
0,0,0,1.024
0,0,0.05,0.8755
0,0,5.037,0.1646
0,0,10.03,0.08091
0,0,15.01,0.05617
0,0,20,0.05314
0.05,0,0,0.8958
0.05,0,0.05,0.9141
0.05,0,5.037,0.1771
0.05,0,10.03,0.08307
0.05,0,15.01,0.06793
0.05,0,20,0.04461
5.037,0,0,0.1607
5.037,0,0.05,0.1707
5.037,0,5.037,0.1023
5.037,0,10.03,0.06122
5.037,0,15.01,0.05116
5.037,0,20,0.03826
10.03,0,0,0.08752
10.03,0,0.05,0.09271
10.03,0,5.037,0.06803
10.03,0,10.03,0.04446
10.03,0,15.01,0.04333
10.03,0,20,0.03465
15.01,0,0,0.06195
15.01,0,0.05,0.05962
15.01,0,5.037,0.05116
15.01,0,10.03,0.03943
15.01,0,15.01,0.03075
15.01,0,20,0.02702
20,0,0,0.04716
20,0,0.05,0.05131
20,0,5.037,0.03755
20,0,10.03,0.02903
20,0,15.01,0.02834
20,0,20,0.02308
0,0.05,0,0.9033
0,0.05,0.05,0.9177
0,0.05,5.037,0.1707
0,0.05,10.03,0.09398
0,0.05,15.01,0.05067
0,0.05,20,0.05041
0.05,0.05,0,0.9366
0.05,0.05,0.05,0.8607
0.05,0.05,5.037,0.1833
0.05,0.05,10.03,0.09005
0.05,0.05,15.01,0.0655
0.05,0.05,20,0.04993
5.037,0.05,0,0.1785
5.037,0.05,0.05,0.157
5.037,0.05,5.037,0.09326
5.037,0.05,10.03,0.06183
5.037,0.05,15.01,0.04942
5.037,0.05,20,0.03954
10.03,0.05,0,0.09825
10.03,0.05,0.05,0.1039
10.03,0.05,5.037,0.06237
10.03,0.05,10.03,0.04578
10.03,0.05,15.01,0.03482
10.03,0.05,20,0.03548
15.01,0.05,0,0.05765
15.01,0.05,0.05,0.06537
15.01,0.05,5.037,0.04783
15.01,0.05,10.03,0.03826
15.01,0.05,15.01,0.03493
15.01,0.05,20,0.02832
20,0.05,0,0.05553
20,0.05,0.05,0.04638
20,0.05,5.037,0.04128
20,0.05,10.03,0.03012
20,0.05,15.01,0.0273
20,0.05,20,0.02303
0,5.037,0,0.1609
0,5.037,0.05,0.163
0,5.037,5.037,0.08581
0,5.037,10.03,0.06605
0,5.037,15.01,0.04787
0,5.037,20,0.03449
0.05,5.037,0,0.1682
0.05,5.037,0.05,0.1541
0.05,5.037,5.037,0.09449
0.05,5.037,10.03,0.0608
0.05,5.037,15.01,0.05715
0.05,5.037,20,0.03302
5.037,5.037,0,0.09331
5.037,5.037,0.05,0.08643
5.037,5.037,5.037,0.05938
5.037,5.037,10.03,0.04713
5.037,5.037,15.01,0.03638
5.037,5.037,20,0.02973
10.03,5.037,0,0.05939
10.03,5.037,0.05,0.06391
10.03,5.037,5.037,0.04867
10.03,5.037,10.03,0.04098
10.03,5.037,15.01,0.03253
10.03,5.037,20,0.02546
15.01,5.037,0,0.05169
15.01,5.037,0.05,0.04983
15.01,5.037,5.037,0.03607
15.01,5.037,10.03,0.03411
15.01,5.037,15.01,0.03014
15.01,5.037,20,0.02369
20,5.037,0,0.03729
20,5.037,0.05,0.03809
20,5.037,5.037,0.03109
20,5.037,10.03,0.02464
20,5.037,15.01,0.02181
20,5.037,20,0.02377
0,10.03,0,0.08813
0,10.03,0.05,0.08704
0,10.03,5.037,0.06844
0,10.03,10.03,0.04803
0,10.03,15.01,0.04137
0,10.03,20,0.03355
0.05,10.03,0,0.0807
0.05,10.03,0.05,0.09039
0.05,10.03,5.037,0.06167
0.05,10.03,10.03,0.04424
0.05,10.03,15.01,0.04149
0.05,10.03,20,0.0319
5.037,10.03,0,0.06
5.037,10.03,0.05,0.05456
5.037,10.03,5.037,0.054
5.037,10.03,10.03,0.04099
5.037,10.03,15.01,0.03127
5.037,10.03,20,0.03232
10.03,10.03,0,0.04679
10.03,10.03,0.05,0.04926
10.03,10.03,5.037,0.03978
10.03,10.03,10.03,0.02991
10.03,10.03,15.01,0.02676
10.03,10.03,20,0.02237
15.01,10.03,0,0.03786
15.01,10.03,0.05,0.03586
15.01,10.03,5.037,0.02874
15.01,10.03,10.03,0.02783
15.01,10.03,15.01,0.02525
15.01,10.03,20,0.02265
20,10.03,0,0.02909
20,10.03,0.05,0.03924
20,10.03,5.037,0.02517
20,10.03,10.03,0.02354
20,10.03,15.01,0.02065
20,10.03,20,0.01934
0,15.01,0,0.06571
0,15.01,0.05,0.06041
0,15.01,5.037,0.04879
0,15.01,10.03,0.03682
0,15.01,15.01,0.03079
0,15.01,20,0.0308
0.05,15.01,0,0.04895
0.05,15.01,0.05,0.06194
0.05,15.01,5.037,0.04348
0.05,15.01,10.03,0.03896
0.05,15.01,15.01,0.03053
0.05,15.01,20,0.02764
5.037,15.01,0,0.05081
5.037,15.01,0.05,0.05351
5.037,15.01,5.037,0.04066
5.037,15.01,10.03,0.03335
5.037,15.01,15.01,0.02823
5.037,15.01,20,0.02609
10.03,15.01,0,0.0396
10.03,15.01,0.05,0.04079
10.03,15.01,5.037,0.03169
10.03,15.01,10.03,0.03107
10.03,15.01,15.01,0.02407
10.03,15.01,20,0.02182
15.01,15.01,0,0.03065
15.01,15.01,0.05,0.0273
15.01,15.01,5.037,0.02497
15.01,15.01,10.03,0.02407
15.01,15.01,15.01,0.02125
15.01,15.01,20,0.02123
20,15.01,0,0.02964
20,15.01,0.05,0.02664
20,15.01,5.037,0.02427
20,15.01,10.03,0.01946
20,15.01,15.01,0.01968
20,15.01,20,0.01837
0,20,0,0.05049
0,20,0.05,0.05204
0,20,5.037,0.04077
0,20,10.03,0.03309
0,20,15.01,0.02958
0,20,20,0.02335
0.05,20,0,0.05084
0.05,20,0.05,0.0501
0.05,20,5.037,0.04312
0.05,20,10.03,0.0316
0.05,20,15.01,0.02929
0.05,20,20,0.02345
5.037,20,0,0.03834
5.037,20,0.05,0.04563
5.037,20,5.037,0.03367
5.037,20,10.03,0.02518
5.037,20,15.01,0.02444
5.037,20,20,0.02085
10.03,20,0,0.03336
10.03,20,0.05,0.03174
10.03,20,5.037,0.02855
10.03,20,10.03,0.02286
10.03,20,15.01,0.02257
10.03,20,20,0.01863
15.01,20,0,0.02858
15.01,20,0.05,0.02566
15.01,20,5.037,0.02619
15.01,20,10.03,0.02121
15.01,20,15.01,0.02033
15.01,20,20,0.01623
20,20,0,0.02268
20,20,0.05,0.025
20,20,5.037,0.02341
20,20,10.03,0.01922
20,20,15.01,0.01554
20,20,20,0.01531
0,0,0,1.03
0,0,0.05,0.9321
0,0,5.037,0.1602
0,0,10.03,0.1029
0,0,15.01,0.06143
0,0,20,0.04704
0.05,0,0,0.9126
0.05,0,0.05,0.8977
0.05,0,5.037,0.1572
0.05,0,10.03,0.08572
0.05,0,15.01,0.06501
0.05,0,20,0.05263
5.037,0,0,0.1603
5.037,0,0.05,0.1597
